;fl_date;mkt_unique_carrier;branded_code_share;mkt_carrier;mkt_carrier_fl_num;op_unique_carrier;tail_num;op_carrier_fl_num;origin_airport_id;origin;origin_city_name;dest_airport_id;dest;dest_city_name;crs_dep_time;dep_time;dep_delay;taxi_out;wheels_off;wheels_on;taxi_in;crs_arr_time;arr_time;arr_delay;cancelled;cancellation_code;diverted;dup;crs_elapsed_time;actual_elapsed_time;air_time;flights;distance;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay;first_dep_time;total_add_gtime;longest_add_gtime;no_name
37445;2018-02-10;AS;AS;AS;231;AS;N519AS;231;14908;SNA;Santa Ana, CA;14747;SEA;Seattle, WA;1735;1725.0;-10.0;13.0;1738.0;2019.0;5.0;2023;2024.0;1.0;0;;0;N;168;179.0;161.0;1;978;;;;;;;;;
654103;2019-07-23;AS;AS;AS;668;AS;N296AK;668;14747;SEA;Seattle, WA;11292;DEN;Denver, CO;1550;1544.0;-6.0;21.0;1605.0;1918.0;7.0;1930;1925.0;-5.0;0;;0;N;160;161.0;133.0;1;1024;;;;;;;;;
505449;2019-03-24;AS;AS;AS;418;AS;N442AS;418;14747;SEA;Seattle, WA;14689;SBA;Santa Barbara, CA;1035;1030.0;-5.0;12.0;1042.0;1241.0;3.0;1310;1244.0;-26.0;0;;0;N;155;134.0;119.0;1;908;;;;;;;;;
388241;2018-12-13;AS;AS;AS;23;AS;N491AS;23;13930;ORD;Chicago, IL;14747;SEA;Seattle, WA;800;753.0;-7.0;26.0;819.0;1036.0;8.0;1050;1044.0;-6.0;0;;0;N;290;291.0;257.0;1;1721;;;;;;;;;
229862;2018-07-29;AS;AS_CODESHARE;AS;3412;OO;N193SY;3412;14831;SJC;San Jose, CA;14908;SNA;Santa Ana, CA;1852;1902.0;10.0;11.0;1913.0;2015.0;7.0;2014;2022.0;8.0;0;;0;N;82;80.0;62.0;1;342;;;;;;;;;
67052;2018-03-14;AS;AS;AS;64;AS;N612AS;64;12819;KTN;Ketchikan, AK;14747;SEA;Seattle, WA;1724;1726.0;2.0;13.0;1739.0;2018.0;8.0;2017;2026.0;9.0;0;;0;N;113;120.0;99.0;1;680;;;;;;;;;
167066;2018-06-10;AS;AS;AS;374;AS;N524AS;374;14057;PDX;Portland, OR;14679;SAN;San Diego, CA;1705;1656.0;-9.0;14.0;1710.0;1906.0;3.0;1929;1909.0;-20.0;0;;0;N;144;133.0;116.0;1;933;;;;;;;;;
191985;2018-06-29;AS;AS_CODESHARE;AS;2833;QX;N631QX;2833;14747;SEA;Seattle, WA;14698;SBP;San Luis Obispo, CA;815;813.0;-2.0;22.0;835.0;1018.0;6.0;1048;1024.0;-24.0;0;;0;N;153;131.0;103.0;1;847;;;;;;;;;
3619;2018-01-04;AS;AS_CODESHARE;AS;2321;QX;N412QX;2321;14831;SJC;San Jose, CA;14570;RNO;Reno, NV;1900;1852.0;-8.0;6.0;1858.0;1937.0;6.0;1958;1943.0;-15.0;0;;0;N;58;51.0;39.0;1;188;;;;;;;;;
655415;2019-07-24;AS;AS_CODESHARE;AS;2391;QX;N412QX;2391;10713;BOI;Boise, ID;14747;SEA;Seattle, WA;945;1007.0;22.0;15.0;1022.0;1050.0;6.0;1020;1056.0;36.0;0;;0;N;95;109.0;88.0;1;399;0.0;0.0;36.0;0.0;0.0;;;;
115183;2018-04-27;AS;AS;AS;884;AS;N593AS;884;12173;HNL;Honolulu, HI;13796;OAK;Oakland, CA;1445;1441.0;-4.0;20.0;1501.0;2235.0;5.0;2301;2240.0;-21.0;0;;0;N;316;299.0;274.0;1;2409;;;;;;;;;
478472;2019-03-01;AS;AS;AS;1005;AS;N927VA;1005;10423;AUS;Austin, TX;14747;SEA;Seattle, WA;625;632.0;7.0;23.0;655.0;922.0;11.0;900;933.0;33.0;0;;0;N;275;301.0;267.0;1;1770;7.0;0.0;26.0;0.0;0.0;;;;
214392;2018-07-17;AS;AS;AS;388;AS;N287AK;388;14747;SEA;Seattle, WA;14679;SAN;San Diego, CA;950;948.0;-2.0;24.0;1012.0;1228.0;3.0;1235;1231.0;-4.0;0;;0;N;165;163.0;136.0;1;1050;;;;;;;;;
728500;2019-09-19;AS;AS;AS;597;AS;N296AK;597;14831;SJC;San Jose, CA;14747;SEA;Seattle, WA;1325;1335.0;10.0;22.0;1357.0;1554.0;8.0;1535;1602.0;27.0;0;;0;N;130;147.0;117.0;1;696;0.0;0.0;17.0;0.0;10.0;;;;
576043;2019-05-22;AS;AS;AS;1152;AS;N365VA;1152;14057;PDX;Portland, OR;14908;SNA;Santa Ana, CA;930;921.0;-9.0;18.0;939.0;1140.0;5.0;1155;1145.0;-10.0;0;;0;N;145;144.0;121.0;1;859;;;;;;;;;
675929;2019-08-08;AS;AS;AS;1489;AS;N846VA;1489;14057;PDX;Portland, OR;14747;SEA;Seattle, WA;1735;1746.0;11.0;15.0;1801.0;1830.0;17.0;1830;1847.0;17.0;0;;0;N;55;61.0;29.0;1;129;0.0;0.0;6.0;0.0;11.0;;;;
43316;2018-02-17;AS;AS;AS;686;AS;N318AS;686;14057;PDX;Portland, OR;13930;ORD;Chicago, IL;705;811.0;66.0;14.0;825.0;1333.0;10.0;1255;1343.0;48.0;0;;0;N;230;212.0;188.0;1;1739;48.0;0.0;0.0;0.0;0.0;705.0;30.0;30.0;
71359;2018-03-19;AS;AS;AS;520;AS;N526AS;520;14747;SEA;Seattle, WA;10800;BUR;Burbank, CA;1336;1325.0;-11.0;17.0;1342.0;1553.0;3.0;1605;1556.0;-9.0;0;;0;N;149;151.0;131.0;1;937;;;;;;;;;
510492;2019-03-28;AS;AS_CODESHARE;AS;2113;QX;N623QX;2113;11259;DAL;Dallas, TX;14057;PDX;Portland, OR;1815;1812.0;-3.0;13.0;1825.0;2014.0;2.0;2035;2016.0;-19.0;0;;0;N;260;244.0;229.0;1;1626;;;;;;;;;
767649;2019-10-21;AS;AS_CODESHARE;AS;3322;OO;N183SY;3322;11259;DAL;Dallas, TX;12892;LAX;Los Angeles, CA;625;619.0;-6.0;21.0;640.0;742.0;12.0;740;754.0;14.0;0;;0;N;195;215.0;182.0;1;1246;;;;;;;;;
92959;2018-04-09;AS;AS;AS;64;AS;N609AS;64;14256;PSG;Petersburg, AK;15841;WRG;Wrangell, AK;1457;1439.0;-18.0;5.0;1444.0;1453.0;4.0;1520;1457.0;-23.0;0;;0;N;23;18.0;9.0;1;31;;;;;;;;;
395676;2018-12-19;AS;AS;AS;1760;AS;N529VA;1760;14747;SEA;Seattle, WA;12892;LAX;Los Angeles, CA;800;804.0;4.0;47.0;851.0;1053.0;7.0;1047;1100.0;13.0;0;;0;N;167;176.0;122.0;1;954;;;;;;;;;
587509;2019-06-01;AS;AS;AS;65;AS;N618AS;65;12819;KTN;Ketchikan, AK;15841;WRG;Wrangell, AK;915;906.0;-9.0;18.0;924.0;945.0;2.0;955;947.0;-8.0;0;;0;N;40;41.0;21.0;1;82;;;;;;;;;
100000;2018-04-14;AS;AS_CODESHARE;AS;2826;QX;N414QX;2826;14747;SEA;Seattle, WA;11884;GEG;Spokane, WA;1700;1656.0;-4.0;10.0;1706.0;1747.0;3.0;1756;1750.0;-6.0;0;;0;N;56;54.0;41.0;1;224;;;;;;;;;
489445;2019-03-11;AS;AS_CODESHARE;AS;3398;OO;N183SY;3398;14831;SJC;San Jose, CA;14679;SAN;San Diego, CA;1540;1536.0;-4.0;15.0;1551.0;1701.0;5.0;1705;1706.0;1.0;0;;0;N;85;90.0;70.0;1;417;;;;;;;;;
310728;2018-10-05;AS;AS;AS;867;AS;N530AS;867;14831;SJC;San Jose, CA;12982;LIH;Lihue, HI;900;922.0;22.0;14.0;936.0;1131.0;9.0;1147;1140.0;-7.0;0;;0;N;347;318.0;295.0;1;2466;;;;;;;;;
269873;2018-08-31;AS;AS;AS;277;AS;N468AS;277;10713;BOI;Boise, ID;14747;SEA;Seattle, WA;1345;1338.0;-7.0;12.0;1350.0;1356.0;11.0;1413;1407.0;-6.0;0;;0;N;88;89.0;66.0;1;399;;;;;;;;;
268304;2018-08-29;AS;AS;AS;820;AS;N537AS;820;13830;OGG;Kahului, HI;14747;SEA;Seattle, WA;1335;1322.0;-13.0;7.0;1329.0;2200.0;13.0;2218;2213.0;-5.0;0;;0;N;343;351.0;331.0;1;2640;;;;;;;;;
129899;2018-05-10;AS;AS;AS;1107;AS;N844VA;1107;14492;RDU;Raleigh/Durham, NC;14771;SFO;San Francisco, CA;805;838.0;33.0;15.0;853.0;1111.0;44.0;1113;1155.0;42.0;0;;0;N;368;377.0;318.0;1;2400;0.0;0.0;9.0;0.0;33.0;;;;
459656;2019-02-13;AS;AS;AS;805;AS;N592AS;805;14747;SEA;Seattle, WA;13830;OGG;Kahului, HI;950;944.0;-6.0;34.0;1018.0;1337.0;7.0;1425;1344.0;-41.0;0;;0;N;395;360.0;319.0;1;2640;;;;;;;;;
