;fl_date;mkt_unique_carrier;branded_code_share;mkt_carrier;mkt_carrier_fl_num;op_unique_carrier;tail_num;op_carrier_fl_num;origin_airport_id;origin;origin_city_name;dest_airport_id;dest;dest_city_name;crs_dep_time;dep_time;dep_delay;taxi_out;wheels_off;wheels_on;taxi_in;crs_arr_time;arr_time;arr_delay;cancelled;cancellation_code;diverted;dup;crs_elapsed_time;actual_elapsed_time;air_time;flights;distance;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay;first_dep_time;total_add_gtime;longest_add_gtime;no_name
375841;2019-04-01;G4;G4;G4;1801;G4;229NV;1801;11697;FLL;Fort Lauderdale, FL;12339;IND;Indianapolis, IN;1133;1133.0;0.0;21.0;1154.0;1410.0;6.0;1424;1416.0;-8.0;0;;0;N;171;163.0;136.0;1;1005;;;;;;;;;
392117;2019-05-25;G4;G4;G4;2116;G4;246NV;2116;11823;FWA;Fort Wayne, IN;14761;SFB;Sanford, FL;1547;1533.0;-14.0;8.0;1541.0;1739.0;5.0;1800;1744.0;-16.0;0;;0;N;133;131.0;118.0;1;870;;;;;;;;;
73517;2018-08-15;F9;F9;F9;1669;F9;N715FR;1669;11433;DTW;Detroit, MI;13204;MCO;Orlando, FL;1413;1418.0;5.0;18.0;1436.0;1639.0;13.0;1654;1652.0;-2.0;0;;0;N;161;154.0;123.0;1;957;;;;;;;;;
185092;2019-07-11;F9;F9;F9;460;F9;N354FR;460;11292;DEN;Denver, CO;13487;MSP;Minneapolis, MN;2059;2053.0;-6.0;14.0;2107.0;2335.0;23.0;2359;2358.0;-1.0;0;;0;N;120;125.0;88.0;1;680;;;;;;;;;
486095;2018-05-04;HA;HA;HA;41;HA;N392HA;41;14771;SFO;San Francisco, CA;13830;OGG;Kahului, HI;1000;957.0;-3.0;16.0;1013.0;1240.0;17.0;1230;1257.0;27.0;0;;0;N;330;360.0;327.0;1;2338;27.0;0.0;0.0;0.0;0.0;;;;
594543;2019-07-02;HA;HA;HA;330;HA;N487HA;330;13830;OGG;Kahului, HI;12402;ITO;Hilo, HI;1610;1608.0;-2.0;10.0;1618.0;1644.0;6.0;1648;1650.0;2.0;0;;0;N;38;42.0;26.0;1;121;;;;;;;;;
452222;2019-12-19;G4;G4;G4;891;G4;223NV;891;11003;CID;Cedar Rapids/Iowa City, IA;14112;PIE;St. Petersburg, FL;930;929.0;-1.0;5.0;934.0;1253.0;4.0;1305;1257.0;-8.0;0;;0;N;155;148.0;139.0;1;1090;;;;;;;;;
86956;2018-09-23;F9;F9;F9;1212;F9;N323FR;1212;13891;ONT;Ontario, CA;13204;MCO;Orlando, FL;58;46.0;-12.0;10.0;56.0;803.0;8.0;846;811.0;-35.0;0;;0;N;288;265.0;247.0;1;2171;;;;;;;;;
159674;2019-05-05;F9;F9;F9;2350;F9;N312FR;2350;13342;MKE;Milwaukee, WI;14100;PHL;Philadelphia, PA;1736;1909.0;93.0;13.0;1922.0;2202.0;11.0;2037;2213.0;96.0;0;;0;N;121;124.0;100.0;1;690;24.0;0.0;3.0;0.0;69.0;;;;
32587;2018-04-16;F9;F9;F9;1670;F9;N711FR;1670;13204;MCO;Orlando, FL;14100;PHL;Philadelphia, PA;700;703.0;3.0;14.0;717.0;903.0;16.0;935;919.0;-16.0;0;;0;N;155;136.0;106.0;1;861;;;;;;;;;
103184;2018-11-10;F9;F9;F9;1160;F9;N331FR;1160;11193;CVG;Cincinnati, OH;14635;RSW;Fort Myers, FL;630;629.0;-1.0;14.0;643.0;849.0;7.0;858;856.0;-2.0;0;;0;N;148;147.0;126.0;1;879;;;;;;;;;
423560;2019-08-22;G4;G4;G4;778;G4;311NV;778;14112;PIE;St. Petersburg, FL;11721;FNT;Flint, MI;640;637.0;-3.0;9.0;646.0;853.0;7.0;917;900.0;-17.0;0;;0;N;157;143.0;127.0;1;1040;;;;;;;;;
374877;2019-03-29;G4;G4;G4;77;G4;315NV;77;14814;SHV;Shreveport, LA;12889;LAS;Las Vegas, NV;2109;2224.0;75.0;8.0;2232.0;2338.0;6.0;2222;2344.0;82.0;0;;0;N;193;200.0;186.0;1;1243;0.0;0.0;23.0;0.0;59.0;;;;
34395;2018-04-22;F9;F9;F9;1185;F9;N706FR;1185;14100;PHL;Philadelphia, PA;11193;CVG;Cincinnati, OH;600;621.0;21.0;17.0;638.0;757.0;12.0;758;809.0;11.0;0;;0;N;118;108.0;79.0;1;507;;;;;;;;;
520224;2018-09-11;HA;HA;HA;356;HA;N486HA;356;12173;HNL;Honolulu, HI;13830;OGG;Kahului, HI;1340;1332.0;-8.0;16.0;1348.0;1412.0;6.0;1426;1418.0;-8.0;0;;0;N;46;46.0;24.0;1;100;;;;;;;;;
33014;2018-04-18;F9;F9;F9;266;F9;N305FR;266;14908;SNA;Santa Ana, CA;11292;DEN;Denver, CO;1944;1950.0;6.0;12.0;2002.0;2243.0;10.0;2303;2253.0;-10.0;0;;0;N;139;123.0;101.0;1;846;;;;;;;;;
277058;2018-03-26;G4;G4;G4;416;G4;883GA;416;12889;LAS;Las Vegas, NV;13256;MFE;Mission/McAllen/Edinburg, TX;730;727.0;-3.0;19.0;746.0;1212.0;7.0;1219;1219.0;0.0;0;;0;N;169;172.0;146.0;1;1210;;;;;;;;;
43718;2018-05-20;F9;F9;F9;870;F9;N310FR;870;10693;BNA;Nashville, TN;15356;TTN;Trenton, NJ;1535;1611.0;36.0;9.0;1620.0;1857.0;6.0;1832;1903.0;31.0;0;;0;N;117;112.0;97.0;1;706;0.0;0.0;20.0;0.0;11.0;;;;
183584;2019-07-07;F9;F9;F9;1139;F9;N312FR;1139;13204;MCO;Orlando, FL;13495;MSY;New Orleans, LA;1157;1152.0;-5.0;19.0;1211.0;1228.0;10.0;1247;1238.0;-9.0;0;;0;N;110;106.0;77.0;1;551;;;;;;;;;
333677;2018-10-21;G4;G4;G4;12;G4;335NV;12;12889;LAS;Las Vegas, NV;10408;ATW;Appleton, WI;2355;2343.0;-12.0;12.0;2355.0;450.0;6.0;600;456.0;-64.0;0;;0;N;245;193.0;175.0;1;1510;;;;;;;;;
581016;2019-05-12;HA;HA;HA;198;HA;N484HA;198;12173;HNL;Honolulu, HI;12758;KOA;Kona, HI;855;847.0;-8.0;9.0;856.0;924.0;5.0;942;929.0;-13.0;0;;0;N;47;42.0;28.0;1;163;;;;;;;;;
94112;2018-10-14;F9;F9;F9;452;F9;N232FR;452;11292;DEN;Denver, CO;12264;IAD;Washington, DC;59;206.0;67.0;55.0;301.0;740.0;9.0;620;749.0;89.0;0;;0;N;201;223.0;159.0;1;1452;0.0;33.0;22.0;0.0;34.0;;;;
575249;2019-04-19;HA;HA;HA;220;HA;N477HA;220;13830;OGG;Kahului, HI;12758;KOA;Kona, HI;1115;1127.0;12.0;11.0;1138.0;1200.0;4.0;1151;1204.0;13.0;0;;0;N;36;37.0;22.0;1;84;;;;;;;;;
212393;2019-09-16;F9;F9;F9;1426;F9;N334FR;1426;14107;PHX;Phoenix, AZ;13930;ORD;Chicago, IL;29;23.0;-6.0;11.0;34.0;522.0;9.0;558;531.0;-27.0;0;;0;N;209;188.0;168.0;1;1440;;;;;;;;;
290422;2018-05-17;G4;G4;G4;864;G4;316NV;864;14112;PIE;St. Petersburg, FL;12119;HGR;Hagerstown, MD;1757;2059.0;182.0;11.0;2110.0;2258.0;7.0;2013;2305.0;172.0;0;;0;N;136;126.0;108.0;1;861;172.0;0.0;0.0;0.0;0.0;;;;
194444;2019-08-03;F9;F9;F9;1682;F9;N335FR;1682;14492;RDU;Raleigh/Durham, NC;10721;BOS;Boston, MA;801;751.0;-10.0;17.0;808.0;937.0;7.0;1008;944.0;-24.0;0;;0;N;127;113.0;89.0;1;612;;;;;;;;;
632377;2019-11-26;HA;HA;HA;255;HA;N485HA;255;13830;OGG;Kahului, HI;12173;HNL;Honolulu, HI;1253;1245.0;-8.0;11.0;1256.0;1320.0;6.0;1333;1326.0;-7.0;0;;0;N;40;41.0;24.0;1;100;;;;;;;;;
265711;2018-02-16;G4;G4;G4;1418;G4;326NV;1418;14122;PIT;Pittsburgh, PA;14685;SAV;Savannah, GA;730;726.0;-4.0;12.0;738.0;905.0;4.0;912;909.0;-3.0;0;;0;N;102;103.0;87.0;1;579;;;;;;;;;
534743;2018-11-07;HA;HA;HA;515;HA;N494HA;515;13830;OGG;Kahului, HI;12173;HNL;Honolulu, HI;2305;2256.0;-9.0;6.0;2302.0;2323.0;6.0;2342;2329.0;-13.0;0;;0;N;37;33.0;21.0;1;100;;;;;;;;;
620108;2019-10-09;HA;HA;HA;68;HA;N214HA;68;12982;LIH;Lihue, HI;13796;OAK;Oakland, CA;1315;1312.0;-3.0;11.0;1323.0;2113.0;6.0;2135;2119.0;-16.0;0;;0;N;320;307.0;290.0;1;2457;;;;;;;;;
90833;2018-10-04;F9;F9;F9;175;F9;N949FR;175;13204;MCO;Orlando, FL;10685;BMI;Bloomington/Normal, IL;1625;1649.0;24.0;14.0;1703.0;1806.0;6.0;1750;1812.0;22.0;0;;0;N;145;143.0;123.0;1;936;0.0;0.0;0.0;0.0;22.0;;;;
